Index,Date,total,food_products,health,total_affected
133,Jan18,167.86,416.56,10522.15,77150.00
134,Fev18,168.47,419.22,10564.24,300.00
135,Mar18,170.10,419.94,10594.88,0.00
136,Abr18,170.83,417.33,10635.14,0.00
137,Mai18,171.74,416.62,10633.01,0.00
138,Jun18,171.53,410.04,10597.92,0.00
139,Jul18,171.22,404.14,10607.46,0.00
140,Ago18,171.67,403.93,10871.58,0.00
141,Set18,171.86,404.06,10874.85,0.00
142,Out18,171.98,405.02,10892.25,0.00
143,Nov18,172.44,407.62,10915.12,0.00
144,Dez18,173.08,412.96,10917.30,0.00
145,Jan19,174.20,420.68,10916.21,1.00
146,Fev19,174.73,422.95,10987.17,0.00
147,Mar19,175.90,427.98,11273.93,1564500.00
148,Abr19,176.41,430.12,11276.19,400094.00
149,Mai19,175.86,427.41,11278.44,0.00
150,Jun19,175.46,424.17,11294.23,0.00
151,Jul19,174.91,417.85,11326.98,0.00
152,Ago19,175.10,417.34,11342.84,0.00
153,Set19,175.28,417.76,11363.26,0.00
154,Out19,175.82,420.89,11740.52,0.00
155,Nov19,176.86,429.44,11722.91,0.00
156,Dez19,179.12,446.87,11734.63,0.00
157,Jan20,180.25,453.71,11753.41,58066.00
158,Fev20,180.90,457.07,11726.37,8700.00
159,Mar20,181.30,459.72,11698.23,0.00
160,Abr20,182.24,462.25,11746.19,0.00
161,Mai20,181.15,458.87,11685.11,0.00
162,Jun20,180.15,452.54,11693.29,0.00
163,Jul20,179.79,449.28,11770.47,0.00
164,Ago20,179.90,449.42,11771.65,0.00
165,Set20,180.48,451.75,11796.37,0.00
166,Out20,181.43,455.78,11812.88,145000.00
167,Nov20,182.63,465.35,11797.52,0.00
168,Dez20,185.41,483.40,11783.37,2700000.00
169,Jan21,187.59,495.92,11809.29,481901.00
170,Fev21,190.11,510.70,11801.02,11410.00
171,Mar21,191.74,519.08,11789.22,0.00
172,Abr21,191.68,515.08,11802.19,0.00
